縣市 ID, 鄉鎮市區 ID, URL
中區 , 4000021 , http://www.cec.gov.tw/zh_TW/P1/n400002100000000.html
東區 , 4000022 , http://www.cec.gov.tw/zh_TW/P1/n400002200000000.html
南區 , 4000023 , http://www.cec.gov.tw/zh_TW/P1/n400002300000000.html
太平區 , 4000024 , http://www.cec.gov.tw/zh_TW/P1/n400002400000000.html
豐原區 , 4000025 , http://www.cec.gov.tw/zh_TW/P1/n400002500000000.html
石岡區 , 4000026 , http://www.cec.gov.tw/zh_TW/P1/n400002600000000.html
新社區 , 4000027 , http://www.cec.gov.tw/zh_TW/P1/n400002700000000.html
東勢區 , 4000028 , http://www.cec.gov.tw/zh_TW/P1/n400002800000000.html
和平區 , 4000029 , http://www.cec.gov.tw/zh_TW/P1/n400002900000000.html
後壁區 , 5000001 , http://www.cec.gov.tw/zh_TW/P1/n500000100000000.html
白河區 , 5000002 , http://www.cec.gov.tw/zh_TW/P1/n500000200000000.html
北門區 , 5000003 , http://www.cec.gov.tw/zh_TW/P1/n500000300000000.html
學甲區 , 5000004 , http://www.cec.gov.tw/zh_TW/P1/n500000400000000.html
鹽水區 , 5000005 , http://www.cec.gov.tw/zh_TW/P1/n500000500000000.html
新營區 , 5000006 , http://www.cec.gov.tw/zh_TW/P1/n500000600000000.html
柳營區 , 5000007 , http://www.cec.gov.tw/zh_TW/P1/n500000700000000.html
東山區 , 5000008 , http://www.cec.gov.tw/zh_TW/P1/n500000800000000.html
將軍區 , 5000009 , http://www.cec.gov.tw/zh_TW/P1/n500000900000000.html
下營區 , 5000010 , http://www.cec.gov.tw/zh_TW/P1/n500001000000000.html
六甲區 , 5000011 , http://www.cec.gov.tw/zh_TW/P1/n500001100000000.html
官田區 , 5000012 , http://www.cec.gov.tw/zh_TW/P1/n500001200000000.html
七股區 , 5000013 , http://www.cec.gov.tw/zh_TW/P1/n500001300000000.html
佳里區 , 5000014 , http://www.cec.gov.tw/zh_TW/P1/n500001400000000.html
麻豆區 , 5000015 , http://www.cec.gov.tw/zh_TW/P1/n500001500000000.html
善化區 , 5000016 , http://www.cec.gov.tw/zh_TW/P1/n500001600000000.html
大內區 , 5000017 , http://www.cec.gov.tw/zh_TW/P1/n500001700000000.html
玉井區 , 5000018 , http://www.cec.gov.tw/zh_TW/P1/n500001800000000.html
楠西區 , 5000019 , http://www.cec.gov.tw/zh_TW/P1/n500001900000000.html
西港區 , 5000020 , http://www.cec.gov.tw/zh_TW/P1/n500002000000000.html
安定區 , 5000021 , http://www.cec.gov.tw/zh_TW/P1/n500002100000000.html
新市區 , 5000022 , http://www.cec.gov.tw/zh_TW/P1/n500002200000000.html
山上區 , 5000023 , http://www.cec.gov.tw/zh_TW/P1/n500002300000000.html
新化區 , 5000024 , http://www.cec.gov.tw/zh_TW/P1/n500002400000000.html
左鎮區 , 5000025 , http://www.cec.gov.tw/zh_TW/P1/n500002500000000.html
南化區 , 5000026 , http://www.cec.gov.tw/zh_TW/P1/n500002600000000.html
安南區 , 5000027 , http://www.cec.gov.tw/zh_TW/P1/n500002700000000.html
北區 , 5000028 , http://www.cec.gov.tw/zh_TW/P1/n500002800000000.html
中西區 , 5000029 , http://www.cec.gov.tw/zh_TW/P1/n500002900000000.html
安平區 , 5000030 , http://www.cec.gov.tw/zh_TW/P1/n500003000000000.html
南區 , 5000031 , http://www.cec.gov.tw/zh_TW/P1/n500003100000000.html
東區 , 5000032 , http://www.cec.gov.tw/zh_TW/P1/n500003200000000.html
永康區 , 5000033 , http://www.cec.gov.tw/zh_TW/P1/n500003300000000.html
仁德區 , 5000034 , http://www.cec.gov.tw/zh_TW/P1/n500003400000000.html
歸仁區 , 5000035 , http://www.cec.gov.tw/zh_TW/P1/n500003500000000.html
關廟區 , 5000036 , http://www.cec.gov.tw/zh_TW/P1/n500003600000000.html
龍崎區 , 5000037 , http://www.cec.gov.tw/zh_TW/P1/n500003700000000.html
桃源區 , 6000001 , http://www.cec.gov.tw/zh_TW/P1/n600000100000000.html
那瑪夏區 , 6000002 , http://www.cec.gov.tw/zh_TW/P1/n600000200000000.html
甲仙區 , 6000003 , http://www.cec.gov.tw/zh_TW/P1/n600000300000000.html
六龜區 , 6000004 , http://www.cec.gov.tw/zh_TW/P1/n600000400000000.html
杉林區 , 6000005 , http://www.cec.gov.tw/zh_TW/P1/n600000500000000.html
內門區 , 6000006 , http://www.cec.gov.tw/zh_TW/P1/n600000600000000.html
旗山區 , 6000007 , http://www.cec.gov.tw/zh_TW/P1/n600000700000000.html
美濃區 , 6000008 , http://www.cec.gov.tw/zh_TW/P1/n600000800000000.html
茂林區 , 6000009 , http://www.cec.gov.tw/zh_TW/P1/n600000900000000.html
阿蓮區 , 6000010 , http://www.cec.gov.tw/zh_TW/P1/n600001000000000.html
田寮區 , 6000011 , http://www.cec.gov.tw/zh_TW/P1/n600001100000000.html
燕巢區 , 6000012 , http://www.cec.gov.tw/zh_TW/P1/n600001200000000.html
大社區 , 6000013 , http://www.cec.gov.tw/zh_TW/P1/n600001300000000.html
大樹區 , 6000014 , http://www.cec.gov.tw/zh_TW/P1/n600001400000000.html
茄萣區 , 6000015 , http://www.cec.gov.tw/zh_TW/P1/n600001500000000.html
湖內區 , 6000016 , http://www.cec.gov.tw/zh_TW/P1/n600001600000000.html
路竹區 , 6000017 , http://www.cec.gov.tw/zh_TW/P1/n600001700000000.html
永安區 , 6000018 , http://www.cec.gov.tw/zh_TW/P1/n600001800000000.html
岡山區 , 6000019 , http://www.cec.gov.tw/zh_TW/P1/n600001900000000.html
彌陀區 , 6000020 , http://www.cec.gov.tw/zh_TW/P1/n600002000000000.html
梓官區 , 6000021 , http://www.cec.gov.tw/zh_TW/P1/n600002100000000.html
橋頭區 , 6000022 , http://www.cec.gov.tw/zh_TW/P1/n600002200000000.html
楠梓區 , 6000023 , http://www.cec.gov.tw/zh_TW/P1/n600002300000000.html
左營區 , 6000024 , http://www.cec.gov.tw/zh_TW/P1/n600002400000000.html
仁武區 , 6000025 , http://www.cec.gov.tw/zh_TW/P1/n600002500000000.html
鳥松區 , 6000026 , http://www.cec.gov.tw/zh_TW/P1/n600002600000000.html
大寮區 , 6000027 , http://www.cec.gov.tw/zh_TW/P1/n600002700000000.html
林園區 , 6000028 , http://www.cec.gov.tw/zh_TW/P1/n600002800000000.html
鼓山區 , 6000029 , http://www.cec.gov.tw/zh_TW/P1/n600002900000000.html
鹽埕區 , 6000030 , http://www.cec.gov.tw/zh_TW/P1/n600003000000000.html
