can_number,region_number,can_name,can_vote,region_name
3,200000900000000,宋楚瑜,"24,853",總統副總統選舉 候選人在 新北市 三重區得票數 
1,200001300000000,朱立倫,"94,831",總統副總統選舉 候選人在 新北市 板橋區得票數 
2,200001300000000,蔡英文,"176,162",總統副總統選舉 候選人在 新北市 板橋區得票數 
3,200001300000000,宋楚瑜,"33,649",總統副總統選舉 候選人在 新北市 板橋區得票數 
1,200001000000000,朱立倫,"59,249",總統副總統選舉 候選人在 新北市 新莊區得票數 
2,200001000000000,蔡英文,"131,027",總統副總統選舉 候選人在 新北市 新莊區得票數 
3,200001000000000,宋楚瑜,"26,039",總統副總統選舉 候選人在 新北市 新莊區得票數 
1,200001400000000,朱立倫,"93,211",總統副總統選舉 候選人在 新北市 中和區得票數 
2,200001400000000,蔡英文,"111,200",總統副總統選舉 候選人在 新北市 中和區得票數 
3,200001400000000,宋楚瑜,"28,207",總統副總統選舉 候選人在 新北市 中和區得票數 
1,200001500000000,朱立倫,"54,466",總統副總統選舉 候選人在 新北市 永和區得票數 
2,200001500000000,蔡英文,"53,214",總統副總統選舉 候選人在 新北市 永和區得票數 
3,200001500000000,宋楚瑜,"15,051",總統副總統選舉 候選人在 新北市 永和區得票數 
1,200001600000000,朱立倫,"39,199",總統副總統選舉 候選人在 新北市 土城區得票數 
2,200001600000000,蔡英文,"71,733",總統副總統選舉 候選人在 新北市 土城區得票數 
3,200001600000000,宋楚瑜,"14,898",總統副總統選舉 候選人在 新北市 土城區得票數 
1,200001700000000,朱立倫,"17,711",總統副總統選舉 候選人在 新北市 三峽區得票數 
2,200001700000000,蔡英文,"30,995",總統副總統選舉 候選人在 新北市 三峽區得票數 
3,200001700000000,宋楚瑜,"7,388",總統副總統選舉 候選人在 新北市 三峽區得票數 
1,200001800000000,朱立倫,"75,420",總統副總統選舉 候選人在 新北市 新店區得票數 
2,200001800000000,蔡英文,"69,922",總統副總統選舉 候選人在 新北市 新店區得票數 
3,200001800000000,宋楚瑜,"20,156",總統副總統選舉 候選人在 新北市 新店區得票數 
1,200001900000000,朱立倫,"4,582",總統副總統選舉 候選人在 新北市 深坑區得票數 
2,200001900000000,蔡英文,"6,702",總統副總統選舉 候選人在 新北市 深坑區得票數 
3,200001900000000,宋楚瑜,"1,500",總統副總統選舉 候選人在 新北市 深坑區得票數 
1,200002000000000,朱立倫,"1,140",總統副總統選舉 候選人在 新北市 石碇區得票數 
2,200002000000000,蔡英文,"2,786",總統副總統選舉 候選人在 新北市 石碇區得票數 
3,200002000000000,宋楚瑜,450,總統副總統選舉 候選人在 新北市 石碇區得票數 
1,200002100000000,朱立倫,927,總統副總統選舉 候選人在 新北市 坪林區得票數 
2,200002100000000,蔡英文,"2,438",總統副總統選舉 候選人在 新北市 坪林區得票數 
3,200002100000000,宋楚瑜,300,總統副總統選舉 候選人在 新北市 坪林區得票數 
1,200002200000000,朱立倫,"1,156",總統副總統選舉 候選人在 新北市 烏來區得票數 
2,200002200000000,蔡英文,"1,295",總統副總統選舉 候選人在 新北市 烏來區得票數 
3,200002200000000,宋楚瑜,586,總統副總統選舉 候選人在 新北市 烏來區得票數 
1,200002300000000,朱立倫,"3,471",總統副總統選舉 候選人在 新北市 金山區得票數 
2,200002300000000,蔡英文,"6,596",總統副總統選舉 候選人在 新北市 金山區得票數 
3,200002300000000,宋楚瑜,"1,104",總統副總統選舉 候選人在 新北市 金山區得票數 
1,200002400000000,朱立倫,"3,779",總統副總統選舉 候選人在 新北市 萬里區得票數 
2,200002400000000,蔡英文,"6,017",總統副總統選舉 候選人在 新北市 萬里區得票數 
3,200002400000000,宋楚瑜,"1,245",總統副總統選舉 候選人在 新北市 萬里區得票數 
1,200002500000000,朱立倫,"37,513",總統副總統選舉 候選人在 新北市 汐止區得票數 
2,200002500000000,蔡英文,"53,546",總統副總統選舉 候選人在 新北市 汐止區得票數 
3,200002500000000,宋楚瑜,"12,922",總統副總統選舉 候選人在 新北市 汐止區得票數 
1,200002600000000,朱立倫,852,總統副總統選舉 候選人在 新北市 平溪區得票數 
2,200002600000000,蔡英文,"1,581",總統副總統選舉 候選人在 新北市 平溪區得票數 
3,200002600000000,宋楚瑜,266,總統副總統選舉 候選人在 新北市 平溪區得票數 
1,200002700000000,朱立倫,"7,325",總統副總統選舉 候選人在 新北市 瑞芳區得票數 
2,200002700000000,蔡英文,"10,874",總統副總統選舉 候選人在 新北市 瑞芳區得票數 
3,200002700000000,宋楚瑜,"2,707",總統副總統選舉 候選人在 新北市 瑞芳區得票數 
1,200002800000000,朱立倫,"1,713",總統副總統選舉 候選人在 新北市 雙溪區得票數 
2,200002800000000,蔡英文,"2,620",總統副總統選舉 候選人在 新北市 雙溪區得票數 
3,200002800000000,宋楚瑜,486,總統副總統選舉 候選人在 新北市 雙溪區得票數 
1,300000100000000,朱立倫,"22,563",總統副總統選舉 候選人在 桃園市 蘆竹區得票數 
2,300000100000000,蔡英文,"43,527",總統副總統選舉 候選人在 桃園市 蘆竹區得票數 
3,300000100000000,宋楚瑜,"10,187",總統副總統選舉 候選人在 桃園市 蘆竹區得票數 
1,300000200000000,朱立倫,"24,434",總統副總統選舉 候選人在 桃園市 龜山區得票數 
2,300000200000000,蔡英文,"39,495",總統副總統選舉 候選人在 桃園市 龜山區得票數 
3,300000200000000,宋楚瑜,"10,293",總統副總統選舉 候選人在 桃園市 龜山區得票數 
1,300000300000000,朱立倫,"70,295",總統副總統選舉 候選人在 桃園市 桃園區得票數 
2,300000300000000,蔡英文,"113,237",總統副總統選舉 候選人在 桃園市 桃園區得票數 
3,300000300000000,宋楚瑜,"30,352",總統副總統選舉 候選人在 桃園市 桃園區得票數 
1,200002900000000,朱立倫,"1,725",總統副總統選舉 候選人在 新北市 貢寮區得票數 
2,200002900000000,蔡英文,"4,502",總統副總統選舉 候選人在 新北市 貢寮區得票數 
3,200002900000000,宋楚瑜,485,總統副總統選舉 候選人在 新北市 貢寮區得票數 
1,300000400000000,朱立倫,"12,256",總統副總統選舉 候選人在 桃園市 大園區得票數 
2,300000400000000,蔡英文,"25,620",總統副總統選舉 候選人在 桃園市 大園區得票數 
3,300000400000000,宋楚瑜,"5,800",總統副總統選舉 候選人在 桃園市 大園區得票數 
1,300000500000000,朱立倫,"8,193",總統副總統選舉 候選人在 桃園市 觀音區得票數 
2,300000500000000,蔡英文,"20,639",總統副總統選舉 候選人在 桃園市 觀音區得票數 
3,300000500000000,宋楚瑜,"4,410",總統副總統選舉 候選人在 桃園市 觀音區得票數 
1,300000900000000,朱立倫,"40,402",總統副總統選舉 候選人在 桃園市 平鎮區得票數 
2,300000900000000,蔡英文,"53,999",總統副總統選舉 候選人在 桃園市 平鎮區得票數 
3,300000900000000,宋楚瑜,"17,617",總統副總統選舉 候選人在 桃園市 平鎮區得票數 
1,300000600000000,朱立倫,"7,619",總統副總統選舉 候選人在 桃園市 新屋區得票數 
2,300000600000000,蔡英文,"15,897",總統副總統選舉 候選人在 桃園市 新屋區得票數 
3,300000600000000,宋楚瑜,"3,327",總統副總統選舉 候選人在 桃園市 新屋區得票數 
1,300000700000000,朱立倫,"28,747",總統副總統選舉 候選人在 桃園市 楊梅區得票數 
2,300000700000000,蔡英文,"37,912",總統副總統選舉 候選人在 桃園市 楊梅區得票數 
3,300000700000000,宋楚瑜,"13,569",總統副總統選舉 候選人在 桃園市 楊梅區得票數 
1,300000800000000,朱立倫,"76,846",總統副總統選舉 候選人在 桃園市 中壢區得票數 
1,300001000000000,朱立倫,"23,696",總統副總統選舉 候選人在 桃園市 龍潭區得票數 
2,300001000000000,蔡英文,"27,280",總統副總統選舉 候選人在 桃園市 龍潭區得票數 
3,300001000000000,宋楚瑜,"9,226",總統副總統選舉 候選人在 桃園市 龍潭區得票數 
1,300001200000000,朱立倫,"15,669",總統副總統選舉 候選人在 桃園市 大溪區得票數 
2,300001200000000,蔡英文,"26,959",總統副總統選舉 候選人在 桃園市 大溪區得票數 
3,300001200000000,宋楚瑜,"6,010",總統副總統選舉 候選人在 桃園市 大溪區得票數 
1,300001300000000,朱立倫,"2,328",總統副總統選舉 候選人在 桃園市 復興區得票數 
2,300001300000000,蔡英文,"1,557",總統副總統選舉 候選人在 桃園市 復興區得票數 
3,300001300000000,宋楚瑜,856,總統副總統選舉 候選人在 桃園市 復興區得票數 
1,300001100000000,朱立倫,"35,965",總統副總統選舉 候選人在 桃園市 八德區得票數 
2,300001100000000,蔡英文,"47,708",總統副總統選舉 候選人在 桃園市 八德區得票數 
3,300001100000000,宋楚瑜,"13,991",總統副總統選舉 候選人在 桃園市 八德區得票數 
1,400000100000000,朱立倫,"11,719",總統副總統選舉 候選人在 臺中市 大甲區得票數 
2,400000100000000,蔡英文,"22,919",總統副總統選舉 候選人在 臺中市 大甲區得票數 
3,400000100000000,宋楚瑜,"5,086",總統副總統選舉 候選人在 臺中市 大甲區得票數 
1,400000200000000,朱立倫,"3,235",總統副總統選舉 候選人在 臺中市 大安區得票數 
2,400000200000000,蔡英文,"6,151",總統副總統選舉 候選人在 臺中市 大安區得票數 
3,400000200000000,宋楚瑜,"1,148",總統副總統選舉 候選人在 臺中市 大安區得票數 
1,400000300000000,朱立倫,"5,685",總統副總統選舉 候選人在 臺中市 外埔區得票數 
2,400000300000000,蔡英文,"8,846",總統副總統選舉 候選人在 臺中市 外埔區得票數 
3,400000300000000,宋楚瑜,"2,357",總統副總統選舉 候選人在 臺中市 外埔區得票數 
1,400000400000000,朱立倫,"12,908",總統副總統選舉 候選人在 臺中市 清水區得票數 
2,400000400000000,蔡英文,"27,086",總統副總統選舉 候選人在 臺中市 清水區得票數 
3,400000400000000,宋楚瑜,"5,855",總統副總統選舉 候選人在 臺中市 清水區得票數 
2,300000800000000,蔡英文,"93,743",總統副總統選舉 候選人在 桃園市 中壢區得票數 
3,300000800000000,宋楚瑜,"30,880",總統副總統選舉 候選人在 桃園市 中壢區得票數 
1,400000500000000,朱立倫,"7,930",總統副總統選舉 候選人在 臺中市 梧棲區得票數 
2,400000500000000,蔡英文,"16,608",總統副總統選舉 候選人在 臺中市 梧棲區得票數 
3,400000500000000,宋楚瑜,"4,118",總統副總統選舉 候選人在 臺中市 梧棲區得票數 
1,400000600000000,朱立倫,"13,758",總統副總統選舉 候選人在 臺中市 沙鹿區得票數 
2,400000600000000,蔡英文,"25,584",總統副總統選舉 候選人在 臺中市 沙鹿區得票數 
3,400000600000000,宋楚瑜,"7,596",總統副總統選舉 候選人在 臺中市 沙鹿區得票數 
1,400000700000000,朱立倫,"11,931",總統副總統選舉 候選人在 臺中市 龍井區得票數 
2,400000700000000,蔡英文,"22,482",總統副總統選舉 候選人在 臺中市 龍井區得票數 
3,400000700000000,宋楚瑜,"6,192",總統副總統選舉 候選人在 臺中市 龍井區得票數 
1,400000800000000,朱立倫,"9,504",總統副總統選舉 候選人在 臺中市 大肚區得票數 
2,400000800000000,蔡英文,"17,025",總統副總統選舉 候選人在 臺中市 大肚區得票數 
3,400000800000000,宋楚瑜,"4,955",總統副總統選舉 候選人在 臺中市 大肚區得票數 
1,400001200000000,朱立倫,"8,917",總統副總統選舉 候選人在 臺中市 后里區得票數 
2,400001200000000,蔡英文,"16,945",總統副總統選舉 候選人在 臺中市 后里區得票數 
3,400001200000000,宋楚瑜,"4,479",總統副總統選舉 候選人在 臺中市 后里區得票數 
1,400000900000000,朱立倫,"11,211",總統副總統選舉 候選人在 臺中市 烏日區得票數 
2,400000900000000,蔡英文,"22,315",總統副總統選舉 候選人在 臺中市 烏日區得票數 
3,400000900000000,宋楚瑜,"6,041",總統副總統選舉 候選人在 臺中市 烏日區得票數 
1,400001300000000,朱立倫,"9,029",總統副總統選舉 候選人在 臺中市 神岡區得票數 
2,400001300000000,蔡英文,"22,808",總統副總統選舉 候選人在 臺中市 神岡區得票數 
3,400001300000000,宋楚瑜,"5,048",總統副總統選舉 候選人在 臺中市 神岡區得票數 
1,400001400000000,朱立倫,"15,243",總統副總統選舉 候選人在 臺中市 大雅區得票數 
2,400001400000000,蔡英文,"26,558",總統副總統選舉 候選人在 臺中市 大雅區得票數 
3,400001400000000,宋楚瑜,"7,806",總統副總統選舉 候選人在 臺中市 大雅區得票數 
1,400001500000000,朱立倫,"16,451",總統副總統選舉 候選人在 臺中市 潭子區得票數 
2,400001500000000,蔡英文,"32,481",總統副總統選舉 候選人在 臺中市 潭子區得票數 
3,400001500000000,宋楚瑜,"9,206",總統副總統選舉 候選人在 臺中市 潭子區得票數 
1,400001000000000,朱立倫,"10,215",總統副總統選舉 候選人在 臺中市 霧峰區得票數 
2,400001000000000,蔡英文,"20,344",總統副總統選舉 候選人在 臺中市 霧峰區得票數 
3,400001000000000,宋楚瑜,"6,047",總統副總統選舉 候選人在 臺中市 霧峰區得票數 
1,400001100000000,朱立倫,"27,583",總統副總統選舉 候選人在 臺中市 大里區得票數 
2,400001100000000,蔡英文,"60,838",總統副總統選舉 候選人在 臺中市 大里區得票數 
3,400001100000000,宋楚瑜,"17,039",總統副總統選舉 候選人在 臺中市 大里區得票數 
1,400001600000000,朱立倫,"36,346",總統副總統選舉 候選人在 臺中市 西屯區得票數 
2,400001600000000,蔡英文,"57,254",總統副總統選舉 候選人在 臺中市 西屯區得票數 
3,400001600000000,宋楚瑜,"17,728",總統副總統選舉 候選人在 臺中市 西屯區得票數 
1,400001700000000,朱立倫,"25,248",總統副總統選舉 候選人在 臺中市 南屯區得票數 
2,400001700000000,蔡英文,"44,025",總統副總統選舉 候選人在 臺中市 南屯區得票數 
3,400001700000000,宋楚瑜,"12,945",總統副總統選舉 候選人在 臺中市 南屯區得票數 
1,400001800000000,朱立倫,"44,404",總統副總統選舉 候選人在 臺中市 北屯區得票數 
2,400001800000000,蔡英文,"70,388",總統副總統選舉 候選人在 臺中市 北屯區得票數 
3,400001800000000,宋楚瑜,"22,087",總統副總統選舉 候選人在 臺中市 北屯區得票數 
1,400001900000000,朱立倫,"25,723",總統副總統選舉 候選人在 臺中市 北區得票數 
2,400001900000000,蔡英文,"39,983",總統副總統選舉 候選人在 臺中市 北區得票數 
3,400001900000000,宋楚瑜,"11,973",總統副總統選舉 候選人在 臺中市 北區得票數 
1,400002000000000,朱立倫,"18,616",總統副總統選舉 候選人在 臺中市 西區得票數 
2,400002000000000,蔡英文,"33,117",總統副總統選舉 候選人在 臺中市 西區得票數 
3,400002000000000,宋楚瑜,"8,608",總統副總統選舉 候選人在 臺中市 西區得票數 
1,400002100000000,朱立倫,"2,773",總統副總統選舉 候選人在 臺中市 中區得票數 
2,400002100000000,蔡英文,"5,162",總統副總統選舉 候選人在 臺中市 中區得票數 
3,400002100000000,宋楚瑜,"1,258",總統副總統選舉 候選人在 臺中市 中區得票數 
1,400002200000000,朱立倫,"11,681",總統副總統選舉 候選人在 臺中市 東區得票數 
2,400002200000000,蔡英文,"23,757",總統副總統選舉 候選人在 臺中市 東區得票數 
3,400002200000000,宋楚瑜,"5,968",總統副總統選舉 候選人在 臺中市 東區得票數 
1,400002300000000,朱立倫,"18,808",總統副總統選舉 候選人在 臺中市 南區得票數 
2,400002300000000,蔡英文,"34,723",總統副總統選舉 候選人在 臺中市 南區得票數 
3,400002300000000,宋楚瑜,"9,611",總統副總統選舉 候選人在 臺中市 南區得票數 
1,400002400000000,朱立倫,"27,020",總統副總統選舉 候選人在 臺中市 太平區得票數 
2,400002400000000,蔡英文,"52,433",總統副總統選舉 候選人在 臺中市 太平區得票數 
3,400002400000000,宋楚瑜,"14,912",總統副總統選舉 候選人在 臺中市 太平區得票數 
1,400002500000000,朱立倫,"24,950",總統副總統選舉 候選人在 臺中市 豐原區得票數 
2,400002500000000,蔡英文,"54,132",總統副總統選舉 候選人在 臺中市 豐原區得票數 
3,400002500000000,宋楚瑜,"12,510",總統副總統選舉 候選人在 臺中市 豐原區得票數 
1,400002600000000,朱立倫,"2,837",總統副總統選舉 候選人在 臺中市 石岡區得票數 
2,400002600000000,蔡英文,"4,699",總統副總統選舉 候選人在 臺中市 石岡區得票數 
3,400002600000000,宋楚瑜,"1,149",總統副總統選舉 候選人在 臺中市 石岡區得票數 
1,400002700000000,朱立倫,"4,284",總統副總統選舉 候選人在 臺中市 新社區得票數 
2,400002700000000,蔡英文,"7,951",總統副總統選舉 候選人在 臺中市 新社區得票數 
3,400002700000000,宋楚瑜,"1,789",總統副總統選舉 候選人在 臺中市 新社區得票數 
1,400002800000000,朱立倫,"9,909",總統副總統選舉 候選人在 臺中市 東勢區得票數 
2,400002800000000,蔡英文,"14,789",總統副總統選舉 候選人在 臺中市 東勢區得票數 
3,400002800000000,宋楚瑜,"3,941",總統副總統選舉 候選人在 臺中市 東勢區得票數 
1,400002900000000,朱立倫,"2,087",總統副總統選舉 候選人在 臺中市 和平區得票數 
2,400002900000000,蔡英文,"1,878",總統副總統選舉 候選人在 臺中市 和平區得票數 
3,400002900000000,宋楚瑜,"1,358",總統副總統選舉 候選人在 臺中市 和平區得票數 
1,500000100000000,朱立倫,"2,457",總統副總統選舉 候選人在 臺南市 後壁區得票數 
2,500000100000000,蔡英文,"9,730",總統副總統選舉 候選人在 臺南市 後壁區得票數 
3,500000100000000,宋楚瑜,"1,095",總統副總統選舉 候選人在 臺南市 後壁區得票數 
1,500000200000000,朱立倫,"2,973",總統副總統選舉 候選人在 臺南市 白河區得票數 
2,500000200000000,蔡英文,"10,796",總統副總統選舉 候選人在 臺南市 白河區得票數 
3,500000200000000,宋楚瑜,"1,191",總統副總統選舉 候選人在 臺南市 白河區得票數 
1,500000300000000,朱立倫,"1,082",總統副總統選舉 候選人在 臺南市 北門區得票數 
2,500000300000000,蔡英文,"4,133",總統副總統選舉 候選人在 臺南市 北門區得票數 
3,500000300000000,宋楚瑜,494,總統副總統選舉 候選人在 臺南市 北門區得票數 
1,500000500000000,朱立倫,"2,530",總統副總統選舉 候選人在 臺南市 鹽水區得票數 
2,500000500000000,蔡英文,"9,726",總統副總統選舉 候選人在 臺南市 鹽水區得票數 
3,500000500000000,宋楚瑜,"1,171",總統副總統選舉 候選人在 臺南市 鹽水區得票數 
1,500000400000000,朱立倫,"2,437",總統副總統選舉 候選人在 臺南市 學甲區得票數 
2,500000400000000,蔡英文,"10,485",總統副總統選舉 候選人在 臺南市 學甲區得票數 
3,500000400000000,宋楚瑜,"1,095",總統副總統選舉 候選人在 臺南市 學甲區得票數 
1,500000600000000,朱立倫,"9,811",總統副總統選舉 候選人在 臺南市 新營區得票數 
2,500000600000000,蔡英文,"24,205",總統副總統選舉 候選人在 臺南市 新營區得票數 
3,500000600000000,宋楚瑜,"4,578",總統副總統選舉 候選人在 臺南市 新營區得票數 
1,500000900000000,朱立倫,"1,638",總統副總統選舉 候選人在 臺南市 將軍區得票數 
2,500000900000000,蔡英文,"8,238",總統副總統選舉 候選人在 臺南市 將軍區得票數 
3,500000900000000,宋楚瑜,725,總統副總統選舉 候選人在 臺南市 將軍區得票數 
1,500000700000000,朱立倫,"2,252",總統副總統選舉 候選人在 臺南市 柳營區得票數 
2,500000700000000,蔡英文,"8,284",總統副總統選舉 候選人在 臺南市 柳營區得票數 
3,500000700000000,宋楚瑜,"1,119",總統副總統選舉 候選人在 臺南市 柳營區得票數 
1,500000800000000,朱立倫,"2,100",總統副總統選舉 候選人在 臺南市 東山區得票數 
2,500000800000000,蔡英文,"7,145",總統副總統選舉 候選人在 臺南市 東山區得票數 
3,500000800000000,宋楚瑜,"1,199",總統副總統選舉 候選人在 臺南市 東山區得票數 
1,500001000000000,朱立倫,"2,555",總統副總統選舉 候選人在 臺南市 下營區得票數 
2,500001000000000,蔡英文,"9,340",總統副總統選舉 候選人在 臺南市 下營區得票數 
3,500001000000000,宋楚瑜,"1,066",總統副總統選舉 候選人在 臺南市 下營區得票數 
1,500001100000000,朱立倫,"2,107",總統副總統選舉 候選人在 臺南市 六甲區得票數 
2,500001100000000,蔡英文,"8,599",總統副總統選舉 候選人在 臺南市 六甲區得票數 
3,500001100000000,宋楚瑜,"1,044",總統副總統選舉 候選人在 臺南市 六甲區得票數 
1,500001300000000,朱立倫,"1,931",總統副總統選舉 候選人在 臺南市 七股區得票數 
2,500001300000000,蔡英文,"9,284",總統副總統選舉 候選人在 臺南市 七股區得票數 
3,500001300000000,宋楚瑜,930,總統副總統選舉 候選人在 臺南市 七股區得票數 
1,500001200000000,朱立倫,"2,013",總統副總統選舉 候選人在 臺南市 官田區得票數 
